code,name,industry,ipo_date,status,current_price,ma5,ma10,ma20,ma60,volume_avg_20,price_change_1d,price_change_5d,price_change_20d,price_change_60d,high_52w,low_52w,volatility_20d,score,industry_category
sh.600111,北方稀土,C32有色金属冶炼和压延加工业,1997-09-24,1,32.96,30.176,28.146000000000004,26.330000000000002,24.796666666666667,145078769.65,9.8667,10.939077751598791,37.50521485189822,39.83877810776411,33.0,20.25,3.830984489877793,95,新材料
sh.600633,浙数文化,I64互联网和相关服务,1993-03-04,1,14.01,14.084,13.943000000000001,13.6945,13.498999999999999,38029803.5,-1.1291,0.0,10.663507109004744,2.5622254758418617,19.8,8.83,1.8787287266715895,100,数字经济
sh.688158,优刻得,I64互联网和相关服务,2020-01-20,1,24.62,23.624000000000002,22.959,22.541500000000003,21.892833333333332,23585649.95,3.9257,8.697571743929377,19.167473378509193,14.885674288380791,41.0,12.0,2.1032061226412853,100,数字经济
sh.600986,浙文互联,I64互联网和相关服务,2004-04-26,1,8.52,8.474,8.450999999999999,8.239,8.223166666666668,61439462.3,-0.9302,-2.517162471395884,11.664482306684132,12.847682119205306,11.44,5.17,1.9338901836984599,100,数字经济
sh.601360,三六零,I64互联网和相关服务,2012-01-16,1,10.96,10.492,10.277000000000001,10.1585,10.197333333333335,90781177.25,0.828,7.345739471106749,13.457556935817806,5.283381364073003,15.24,8.98,1.5611360075952787,100,数字经济
sz.000503,国新健康,I64互联网和相关服务,1992-11-30,1,10.91,10.838,10.643,10.5395,10.394,21541157.4,0.4604,1.7723880597014796,10.986775178026441,3.4123222748815074,15.98,9.48,1.6030516721733878,100,数字经济
sz.300494,盛天网络,I64互联网和相关服务,2015-12-31,1,14.41,14.38,14.184999999999999,13.739999999999998,12.919166666666666,38079952.25,-1.9728,2.781740370898711,16.397415185783526,31.119199272065522,16.29,9.51,2.4087673972332166,100,数字经济
sz.300766,每日互动,I64互联网和相关服务,2019-03-25,1,36.84,36.514,35.364,34.7335,36.099333333333334,28876219.15,1.2923,6.197751513404448,13.040810064436936,1.5435501653803918,70.5,13.7,2.123074122983984,100,数字经济
sz.002354,天娱数科,I64互联网和相关服务,2010-02-09,1,6.81,6.744,6.659000000000001,6.454000000000001,6.477166666666666,116969166.0,-0.2928,4.930662557781185,14.070351758793965,20.530973451327416,9.42,3.83,2.4712700805509535,100,数字经济
sz.002174,游族网络,I64互联网和相关服务,2007-09-25,1,13.56,13.106,12.619,12.321000000000002,11.732,41415548.45,-1.31,11.881188118811892,13.949579831932768,48.52135815991237,14.23,7.65,2.0375462452549713,100,数字经济
sz.300002,神州泰岳,I64互联网和相关服务,2009-10-30,1,12.69,12.692,12.793,12.197999999999999,11.43,90603391.3,0.3162,-1.5515903801396558,18.26654240447343,8.461538461538453,16.08,9.95,2.172505282992789,100,数字经济
