代码,名称,交易所,板块,最新价,总市值(亿),市盈率,市净率,估值评级,目标价,预期收益率,投资周期,止损价,风险等级,竞品数量,相对优势,投资理由
600030,中信证券,上海证券交易所,上证主板,28.2,4179.39,15.96,1.56,低估,37.91,34.4%,6-12个月,23.97,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 15.96倍，低于行业中位数34.23倍; 账面价值：当前PB 1.56倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值4179亿元，具备较强抗风险能力
600000,XD浦发银,上海证券交易所,上证主板,13.64,4128.51,5.87,0.62,低估,46.13,238.2%,6-12个月,11.594,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 5.87倍，低于行业中位数34.23倍; 账面价值：当前PB 0.62倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值4129亿元，具备较强抗风险能力; 短期表现：当日上涨0.89%，显示市场认可
600276,恒瑞医药,上海证券交易所,上证主板,57.5,3816.39,50.91,8.35,高估,57.5,0.0%,不建议投资,48.875,较低,5,需要进一步分析,规模优势：超大盘股，总市值3816亿元，具备较强抗风险能力; 短期表现：当日上涨0.49%，显示市场认可
300059,东方财富,深圳证券交易所,创业板,23.57,3725.01,34.3,4.51,略高,23.57,0.0%,不建议投资,20.0345,较低,3,PB估值优势,规模优势：超大盘股，总市值3725亿元，具备较强抗风险能力; 短期表现：当日上涨0.17%，显示市场认可
601319,中国人保,上海证券交易所,上证主板,8.4,3714.82,7.23,1.33,低估,13.24,57.7%,6-12个月,7.14,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 7.23倍，低于行业中位数34.23倍; 账面价值：当前PB 1.33倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值3715亿元，具备较强抗风险能力
601601,中国太保,上海证券交易所,上证主板,37.9,3646.11,9.47,1.38,低估,57.59,52.0%,6-12个月,32.214999999999996,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 9.47倍，低于行业中位数34.23倍; 账面价值：当前PB 1.38倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值3646亿元，具备较强抗风险能力
601211,国泰海通,上海证券交易所,上证主板,19.45,3428.98,7.0,1.1,低估,37.08,90.6%,6-12个月,16.5325,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 7.00倍，低于行业中位数34.23倍; 账面价值：当前PB 1.10倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值3429亿元，具备较强抗风险能力; 短期表现：当日上涨0.46%，显示市场认可
688041,海光信息,上海证券交易所,上证主板,136.99,3184.11,157.35,15.32,高估,136.99,0.0%,不建议投资,116.4415,较低,5,需要进一步分析,规模优势：超大盘股，总市值3184亿元，具备较强抗风险能力; 短期表现：当日上涨0.21%，显示市场认可
601816,京沪高铁,上海证券交易所,上证主板,5.57,2725.16,22.99,1.37,低估,7.46,34.0%,6-12个月,4.7345,较低,5,PB估值优势,估值优势：当前PE 22.99倍，低于行业中位数34.23倍; 账面价值：当前PB 1.37倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2725亿元，具备较强抗风险能力; 短期表现：当日上涨0.18%，显示市场认可
651,格力电器,上海证券交易所,上证主板,48.09,2693.72,11.41,1.96,低估,51.45,7.0%,6-12个月,40.8765,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 11.41倍，低于行业中位数34.23倍; 账面价值：当前PB 1.96倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2694亿元，具备较强抗风险能力; 短期表现：当日上涨0.29%，显示市场认可
2475,立讯精密,其他,其他,36.77,2666.57,21.9,3.78,合理,20.75,-43.6%,12-18个月,31.2545,较低,5,需要进一步分析,规模优势：超大盘股，总市值2667亿元，具备较强抗风险能力
300760,迈瑞医疗,深圳证券交易所,创业板,215.1,2607.96,24.8,7.2,略高,215.1,0.0%,不建议投资,182.83499999999998,较低,5,PE估值优势; PB估值优势,规模优势：超大盘股，总市值2608亿元，具备较强抗风险能力; 短期表现：当日上涨0.02%，显示市场认可
2415,海康威视,其他,其他,27.93,2578.83,31.62,3.42,略高,27.93,0.0%,不建议投资,23.7405,较低,5,需要进一步分析,规模优势：超大盘股，总市值2579亿元，具备较强抗风险能力
601818,光大银行,上海证券交易所,上证主板,4.36,2576.13,5.17,0.54,低估,16.93,288.3%,6-12个月,3.706,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 5.17倍，低于行业中位数34.23倍; 账面价值：当前PB 0.54倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2576亿元，具备较强抗风险能力; 短期表现：当日上涨0.23%，显示市场认可
601668,中国建筑,上海证券交易所,上证主板,6.12,2528.81,4.21,0.55,低估,23.33,281.3%,6-12个月,5.202,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 4.21倍，低于行业中位数34.23倍; 账面价值：当前PB 0.55倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2529亿元，具备较强抗风险能力
1,平安银行,其他,其他,12.74,2472.31,4.38,0.58,低估,46.85,267.8%,6-12个月,10.829,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 4.38倍，低于行业中位数35.96倍; 账面价值：当前PB 0.58倍，低于行业中位数2.37倍; 规模优势：超大盘股，总市值2472亿元，具备较强抗风险能力; 短期表现：当日上涨0.08%，显示市场认可
2714,牧原股份,其他,其他,44.89,2452.24,13.65,3.39,合理,28.24,-37.1%,12-18个月,38.1565,较低,5,需要进一步分析,规模优势：超大盘股，总市值2452亿元，具备较强抗风险能力
600690,海尔智家,上海证券交易所,上证主板,25.82,2422.67,11.04,2.06,低估,26.28,1.8%,6-12个月,21.947,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 11.04倍，低于行业中位数34.23倍; 账面价值：当前PB 2.06倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2423亿元，具备较强抗风险能力; 短期表现：当日上涨0.08%，显示市场认可
601919,中远海控,上海证券交易所,上证主板,15.35,2377.68,5.08,0.97,低估,33.18,116.2%,6-12个月,13.0475,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 5.08倍，低于行业中位数34.23倍; 账面价值：当前PB 0.97倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2378亿元，具备较强抗风险能力
2352,顺丰控股,其他,其他,46.96,2377.44,26.6,2.58,略高,46.96,0.0%,不建议投资,39.916,较低,5,需要进一步分析,规模优势：超大盘股，总市值2377亿元，具备较强抗风险能力
2371,北方华创,其他,其他,323.4,2333.67,36.91,7.27,高估,323.4,0.0%,不建议投资,274.89,较低,5,需要进一步分析,规模优势：超大盘股，总市值2334亿元，具备较强抗风险能力; 短期表现：当日上涨0.02%，显示市场认可
600016,民生银行,上海证券交易所,上证主板,5.33,2333.6,4.58,0.42,低估,26.61,399.3%,6-12个月,4.5305,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 4.58倍，低于行业中位数34.23倍; 账面价值：当前PB 0.42倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2334亿元，具备较强抗风险能力
603259,药明康德,上海证券交易所,上证主板,80.08,2300.07,15.66,3.9,合理,43.06,-46.2%,12-18个月,68.068,较低,5,PE估值优势,规模优势：超大盘股，总市值2300亿元，具备较强抗风险能力
688256,寒武纪-U,上海证券交易所,上证主板,548.0,2292.56,161.24,38.89,高估,548.0,0.0%,不建议投资,465.8,较低,5,需要进一步分析,规模优势：超大盘股，总市值2293亿元，具备较强抗风险能力
